日期,縣市,住宅部門售電量(度),住宅部門用電佔比(%),服務業部門(含包燈)(度),服務業部門(含包燈)用電佔比(%),農林漁牧售電量(度),農林漁牧用電佔比(%),工業部門售電量(度),工業部門用電佔比(%),合計售電量(度),縣市用電佔比(%)
2021年07月,雲林縣,139742261,0.2602,75764068,0.1411,41039828,0.0764,280438968,0.5222,536985125,0.0256
2021年07月,嘉義縣,96419721,0.3459,48178320,0.1728,25137655,0.0902,109023334,0.3911,278759030,0.0133
2021年07月,屏東縣,168568186,0.3808,91971056,0.2078,61226663,0.1383,120929097,0.2732,442695002,0.0211
2021年07月,台東縣,38940456,0.4592,31889574,0.3761,2801130,0.033,11167226,0.1317,84798386,0.004
2021年07月,花蓮縣,63280085,0.2868,62768388,0.2844,2685180,0.0122,91940212,0.4166,220673865,0.0105
2021年07月,基隆市,67423045,0.5082,44900852,0.3384,4948,0,20344676,0.1533,132673521,0.0063
2021年07月,新竹市,119314937,0.1197,106794888,0.1071,911961,0.0009,769720608,0.7722,996742394,0.0476
2021年07月,嘉義市,55937647,0.5077,43716610,0.3968,633795,0.0058,9881508,0.0897,110169560,0.0053
2021年07月,澎湖縣,20531408,0.4667,18087859,0.4112,440517,0.01,4932559,0.1121,43992343,0.0021
2021年07月,金門縣,12984872,0.45,11316932,0.3922,305667,0.0106,4247960,0.1472,28855431,0.0014
2021年07月,連江縣,2923921,0.4138,3374676,0.4776,5594,0.0008,761110,0.1077,7065301,0.0003
2021年07月,合計,5149776164,0.2457,3885661556,0.1854,288706365,0.0138,11637657151,0.5552,20961801236,1
2021年06月,新北市,762093185,0.4213,485797620,0.2685,2226685,0.0012,558879322,0.3089,1808996812,0.0929
2021年06月,台北市,470480803,0.3796,719859856,0.5808,1219839,0.001,47900634,0.0386,1239461132,0.0636
2021年06月,桃園市,465679185,0.1825,367883167,0.1442,4635469,0.0018,1713632360,0.6715,2551830181,0.131
2021年06月,台中市,541911895,0.1874,466557844,0.1613,14933684,0.0052,1868562464,0.6461,2891965887,0.1485
2021年06月,台南市,374090968,0.142,253369148,0.0962,36816404,0.014,1969341814,0.7478,2633618334,0.1352
2021年06月,高雄市,456781231,0.1804,443481828,0.1751,20423651,0.0081,1612012077,0.6365,2532698788,0.13
2021年06月,宜蘭縣,84103377,0.2855,60972885,0.207,6984965,0.0237,142496881,0.4838,294558108,0.0151
2021年06月,新竹縣,117699954,0.1377,82682847,0.0967,1899174,0.0022,652651431,0.7634,854933407,0.0439
2021年06月,苗栗縣,89345623,0.1407,56560401,0.0891,3306081,0.0052,485767097,0.765,634979202,0.0326
2021年06月,彰化縣,221873239,0.2139,185115666,0.1784,48605322,0.0469,581851177,0.5608,1037445404,0.0533
2021年06月,南投縣,88940918,0.3369,54471129,0.2063,9836594,0.0373,110763160,0.4195,264011801,0.0136
2021年06月,雲林縣,141187064,0.2676,78321194,0.1484,42714249,0.0809,265442989,0.5031,527665496,0.0271
2021年06月,嘉義縣,86359125,0.3266,46168051,0.1746,27777316,0.1051,104078625,0.3937,264383117,0.0136
2021年06月,屏東縣,155454937,0.367,90866346,0.2145,65783634,0.1553,111527638,0.2633,423632554,0.0217
2021年06月,台東縣,39765557,0.4721,31056042,0.3687,2721214,0.0323,10682561,0.1268,84225374,0.0043
2021年06月,花蓮縣,62996942,0.2934,59921193,0.2791,2385775,0.0111,89389959,0.4164,214693869,0.011
2021年06月,基隆市,64363217,0.5082,42342547,0.3343,10701,0.0001,19925446,0.1573,126641911,0.0065
2021年06月,新竹市,86866493,0.0939,99422282,0.1075,972978,0.0011,737630819,0.7975,924892571,0.0475
2021年06月,嘉義市,49982490,0.4916,41796222,0.4111,736330,0.0072,9164668,0.0901,101679710,0.0052
2021年06月,澎湖縣,15832459,0.4233,16506791,0.4413,413756,0.0111,4650605,0.1243,37403611,0.0019
2021年06月,金門縣,9309195,0.4073,9381756,0.4105,284462,0.0124,3878121,0.1697,22853534,0.0012
2021年06月,連江縣,1990266,0.3407,3122492,0.5345,5174,0.0009,723784,0.1239,5841716,0.0003
2021年06月,合計,4387108123,0.2252,3695657307,0.1897,294693457,0.0151,11100953632,0.5699,19478412519,1
2021年05月,新北市,602469201,0.3602,512336920,0.3063,2375605,0.0014,555336819,0.332,1672518545,0.0879
2021年05月,台北市,390590617,0.3183,779813023,0.6355,1219460,0.001,55369370,0.0451,1226992470,0.0645
2021年05月,桃園市,323196354,0.1319,358797024,0.1464,4109546,0.0017,1764413909,0.72,2450516833,0.1288
2021年05月,台中市,431449836,0.1524,478506831,0.1691,14825355,0.0052,1905524702,0.6733,2830306724,0.1488
2021年05月,台南市,289693680,0.1131,263508738,0.1028,33838649,0.0132,1975320477,0.7709,2562361544,0.1347
2021年05月,高雄市,471588114,0.1793,469166803,0.1784,20892164,0.0079,1667997215,0.6343,2629644296,0.1383
2021年05月,宜蘭縣,64055746,0.2301,68589588,0.2463,6257254,0.0225,139534887,0.5011,278437475,0.0146
2021年05月,新竹縣,83437540,0.1004,77926146,0.0938,2014868,0.0024,667348801,0.8033,830727355,0.0437
2021年05月,苗栗縣,77567401,0.1178,60792922,0.0923,3024409,0.0046,517154898,0.7853,658539630,0.0346
2021年05月,彰化縣,180480202,0.1814,180390718,0.1813,42254624,0.0425,591798318,0.5948,994923862,0.0523
2021年05月,南投縣,60960798,0.2556,53832450,0.2257,10218444,0.0429,113455176,0.4758,238466868,0.0125
2021年05月,雲林縣,111710037,0.2256,75538713,0.1525,38628173,0.078,269338554,0.5439,495215477,0.026
2021年05月,嘉義縣,73466056,0.2919,48405605,0.1923,25286233,0.1005,104510984,0.4153,251668878,0.0132
2021年05月,屏東縣,133278219,0.3189,98611379,0.2359,65881990,0.1576,120189526,0.2876,417961114,0.022
2021年05月,台東縣,29357579,0.3865,32789883,0.4317,2684984,0.0353,11130916,0.1465,75963362,0.004
2021年05月,花蓮縣,46493914,0.2302,62965655,0.3118,2171279,0.0108,90330092,0.4473,201960940,0.0106
2021年05月,基隆市,46136893,0.4288,42450261,0.3945,4334,0,19010877,0.1767,107602365,0.0057
2021年05月,新竹市,75383501,0.0809,103304504,0.1109,959977,0.001,752027416,0.8072,931675398,0.049
2021年05月,嘉義市,38510928,0.4074,46238011,0.4892,614412,0.0065,9162850,0.0969,94526201,0.005
2021年05月,澎湖縣,14421306,0.3778,18183388,0.4764,400627,0.0105,5166930,0.1354,38172251,0.002
2021年05月,金門縣,9609126,0.3908,10792972,0.4389,268443,0.0109,3918053,0.1593,24588594,0.0013
2021年05月,連江縣,2428775,0.3899,3053653,0.4902,7398,0.0012,739970,0.1188,6229796,0.0003
2021年05月,合計,3556285823,0.187,3845995187,0.2022,277938228,0.0146,11338780740,0.5962,19018999978,1
2021年04月,新北市,602679244,0.3837,441822822,0.2813,2025992,0.0013,524038563,0.3337,1570566621,0.0886
2021年04月,台北市,366850355,0.3357,681155892,0.6234,1042891,0.001,43635209,0.0399,1092684347,0.0616
2021年04月,桃園市,384630971,0.165,320321810,0.1374,3922995,0.0017,1622696016,0.696,2331571792,0.1315
2021年04月,台中市,439189664,0.1654,428238230,0.1612,13370914,0.005,1775236890,0.6684,2656035698,0.1498
2021年04月,台南市,291429938,0.1226,240377283,0.1011,30726724,0.0129,1813950837,0.7633,2376484782,0.134
2021年04月,高雄市,355853748,0.1473,424915202,0.1758,20135814,0.0083,1615594733,0.6686,2416499497,0.1363
2021年04月,宜蘭縣,72525481,0.2705,61431369,0.2291,5474043,0.0204,128696938,0.48,268127831,0.0151
2021年04月,新竹縣,96634603,0.1228,73740297,0.0937,1578726,0.002,614765334,0.7814,786718960,0.0444
2021年04月,苗栗縣,71487131,0.1171,53257062,0.0872,2600091,0.0043,483127965,0.7914,610472249,0.0344
2021年04月,彰化縣,185599183,0.1958,168172926,0.1774,37947731,0.04,556129475,0.5867,947849315,0.0535
2021年04月,南投縣,77380946,0.3129,52808898,0.2135,9470850,0.0383,107640575,0.4353,247301269,0.0139
2021年04月,雲林縣,110904496,0.2363,65185053,0.1389,34017827,0.0725,259276898,0.5524,469384274,0.0265
2021年04月,嘉義縣,69211792,0.2934,41813302,0.1772,21966570,0.0931,102925281,0.4363,235916945,0.0133
2021年04月,屏東縣,121213979,0.312,90829687,0.2338,63848256,0.1643,112644033,0.2899,388535955,0.0219
2021年04月,台東縣,34069803,0.4423,30530783,0.3964,2530226,0.0329,9890918,0.1284,77021730,0.0043
2021年04月,花蓮縣,53890920,0.2728,57025548,0.2887,2000545,0.0101,84597487,0.4283,197514500,0.0111
2021年04月,基隆市,56523484,0.5069,37439532,0.3358,9419,0.0001,17529478,0.1572,111501913,0.0063
2021年04月,新竹市,65841473,0.082,90945325,0.1133,891086,0.0011,645059902,0.8036,802737786,0.0453
2021年04月,嘉義市,38888051,0.4417,40056333,0.455,607005,0.0069,8485034,0.0964,88036423,0.005
2021年04月,澎湖縣,13372540,0.418,14109137,0.441,352837,0.011,4158817,0.13,31993331,0.0018
2021年04月,金門縣,8877122,0.4399,8441585,0.4183,263117,0.013,2597835,0.1287,20179659,0.0011
2021年04月,連江縣,2113831,0.3727,2862409,0.5046,7704,0.0014,688381,0.1214,5672325,0.0003
2021年04月,合計,3519168755,0.1985,3425480485,0.1932,254791363,0.0144,10533366599,0.594,17732807202,1
2021年03月,新北市,649645302,0.4003,473412653,0.2917,2257087,0.0014,497388406,0.3065,1622703448,0.0886
2021年03月,台北市,412836083,0.3529,705060039,0.6027,1218779,0.001,50786075,0.0434,1169900976,0.0639
2021年03月,桃園市,363492772,0.1561,316618372,0.136,3712271,0.0016,1644355165,0.7063,2328178580,0.1272
2021年03月,台中市,467190931,0.1701,437472669,0.1593,13228500,0.0048,1828621506,0.6658,2746513606,0.15
2021年03月,台南市,298967038,0.1206,235700782,0.0951,32057510,0.0129,1912439012,0.7714,2479164342,0.1354
2021年03月,高雄市,459394199,0.1806,421648568,0.1658,21523789,0.0085,1641246561,0.6452,2543813117,0.1389
2021年03月,宜蘭縣,72199529,0.2624,66679302,0.2424,5388707,0.0196,130855505,0.4756,275123043,0.015
2021年03月,新竹縣,93509215,0.1193,71411056,0.0911,1836983,0.0023,617207641,0.7873,783964895,0.0428
2021年03月,苗栗縣,84832521,0.1318,55605079,0.0864,2609968,0.0041,500569844,0.7777,643617412,0.0352
2021年03月,彰化縣,193098242,0.2021,163492345,0.1711,37979627,0.0397,560934546,0.5871,955504760,0.0522
2021年03月,南投縣,67746511,0.2842,51807824,0.2173,9020623,0.0378,109830597,0.4607,238405555,0.013
2021年03月,雲林縣,111207396,0.2347,69806472,0.1473,35142113,0.0742,257760022,0.5439,473916003,0.0259
2021年03月,嘉義縣,77125059,0.3059,42994108,0.1705,22626497,0.0897,109375767,0.4338,252121431,0.0138
2021年03月,屏東縣,128563718,0.3191,90578933,0.2248,68261303,0.1694,115543936,0.2867,402947890,0.022
2021年03月,台東縣,31272186,0.4184,30347796,0.406,2769293,0.037,10356861,0.1386,74746136,0.0041
2021年03月,花蓮縣,50693958,0.256,58233655,0.2941,2243097,0.0113,86837488,0.4386,198008198,0.0108
2021年03月,基隆市,52750532,0.4827,38934758,0.3563,5097,0,17598511,0.161,109288898,0.006
2021年03月,新竹市,80931617,0.0947,93130197,0.109,878417,0.001,679770301,0.7953,854710532,0.0467
2021年03月,嘉義市,40617648,0.4456,41252272,0.4526,553421,0.0061,8729072,0.0958,91152413,0.005
2021年03月,澎湖縣,15455522,0.4423,14754116,0.4222,384393,0.011,4350018,0.1245,34944049,0.0019
2021年03月,金門縣,11136629,0.4668,9823609,0.4118,254462,0.0107,2642084,0.1107,23856784,0.0013
2021年03月,連江縣,2635467,0.4245,2897742,0.4668,5929,0.001,668974,0.1078,6208112,0.0003
2021年03月,合計,3765302075,0.2057,3491662347,0.1907,263957866,0.0144,10787867892,0.5892,18308790180,1
2021年02月,新北市,641061049,0.4381,391034407,0.2672,2053383,0.0014,429032841,0.2932,1463181680,0.0933
2021年02月,台北市,390393905,0.3845,585301517,0.5764,1035621,0.001,38714278,0.0381,1015445321,0.0648
2021年02月,桃園市,414057080,0.2037,279427793,0.1375,3753621,0.0018,1335506353,0.657,2032744847,0.1296
2021年02月,台中市,450846855,0.1911,370429911,0.157,11798493,0.005,1526194320,0.6469,2359269579,0.1505
2021年02月,台南市,287909256,0.1389,200809739,0.0969,28160017,0.0136,1555846950,0.7506,2072725962,0.1322
2021年02月,高雄市,343944006,0.1686,349849529,0.1715,18428935,0.009,1327288300,0.6508,2039510770,0.1301
2021年02月,宜蘭縣,78476925,0.3248,54816351,0.2269,4482730,0.0186,103847528,0.4298,241623534,0.0154
2021年02月,新竹縣,101477723,0.1419,65504770,0.0916,1382452,0.0019,546981785,0.7646,715346730,0.0456
2021年02月,苗栗縣,72748870,0.136,47736873,0.0892,2181781,0.0041,412328156,0.7707,534995680,0.0341
2021年02月,彰化縣,180543612,0.2241,150734621,0.1871,33404086,0.0415,440871614,0.5473,805553933,0.0514
2021年02月,南投縣,77680560,0.3561,46749085,0.2143,7583167,0.0348,86105920,0.3948,218118732,0.0139
2021年02月,雲林縣,97628633,0.2441,54633409,0.1366,32075011,0.0802,215687897,0.5392,400024950,0.0255
2021年02月,嘉義縣,63277957,0.3177,35123080,0.1763,18648226,0.0936,82142044,0.4124,199191307,0.0127
2021年02月,屏東縣,114563800,0.3356,76108736,0.223,61367059,0.1798,89322465,0.2617,341362060,0.0218
2021年02月,台東縣,33130532,0.4726,26054053,0.3717,2389260,0.0341,8529591,0.1217,70103436,0.0045
2021年02月,花蓮縣,54266698,0.2968,49310852,0.2697,1953438,0.0107,77301236,0.4228,182832224,0.0117
2021年02月,基隆市,61281124,0.5559,33566156,0.3045,12091,0.0001,15376429,0.1395,110235800,0.007
2021年02月,新竹市,70505591,0.0948,76741599,0.1031,819246,0.0011,595999161,0.801,744065597,0.0475
2021年02月,嘉義市,38843061,0.4868,33031452,0.4139,594040,0.0074,7331587,0.0919,79800140,0.0051
2021年02月,澎湖縣,12805205,0.4413,11868219,0.409,339516,0.0117,4001367,0.1379,29014307,0.0019
2021年02月,金門縣,9375357,0.4897,7418434,0.3875,222984,0.0116,2130012,0.1112,19146787,0.0012
2021年02月,連江縣,2216398,0.404,2630567,0.4795,6682,0.0012,632859,0.1153,5486506,0.0003
2021年02月,合計,3597034197,0.2294,2948881153,0.1881,232691839,0.0148,8901172693,0.5677,15679779882,1
2021年01月,新北市,611251115,0.3896,459842480,0.2931,2326856,0.0015,495650897,0.3159,1569071348,0.0908
2021年01月,台北市,399211598,0.3561,668672895,0.5964,1129074,0.001,52177065,0.0465,1121190632,0.0649
2021年01月,桃園市,333162819,0.1478,305794181,0.1357,3834893,0.0017,1611487819,0.7149,2254279712,0.1304
2021年01月,台中市,433898371,0.1644,421618095,0.1597,12330394,0.0047,1771769239,0.6712,2639616099,0.1527
2021年01月,台南市,276795188,0.1299,224559914,0.1054,31440875,0.0148,1597983126,0.75,2130779103,0.1233
2021年01月,高雄市,450087280,0.1886,398921862,0.1672,20799943,0.0087,1516397635,0.6355,2386206720,0.138
2021年01月,宜蘭縣,68874783,0.2554,63564146,0.2357,4621197,0.0171,132636860,0.4918,269696986,0.0156
2021年01月,新竹縣,85188873,0.1147,69837591,0.0941,1675772,0.0023,585747571,0.7889,742449807,0.043
2021年01月,苗栗縣,77454432,0.124,54719959,0.0876,2343754,0.0038,490187023,0.7847,624705168,0.0361
2021年01月,彰化縣,173029749,0.1888,160468777,0.1751,36289220,0.0396,546604664,0.5965,916392410,0.053
2021年01月,南投縣,61570369,0.2777,49710211,0.2242,7685118,0.0347,102768513,0.4635,221734211,0.0128
2021年01月,雲林縣,95600765,0.2155,66050750,0.1489,30733156,0.0693,251202880,0.5663,443587551,0.0257
2021年01月,嘉義縣,67721815,0.3028,40669168,0.1818,19073690,0.0853,96221943,0.4302,223686616,0.0129
2021年01月,屏東縣,123798626,0.3244,85534620,0.2241,65211041,0.1709,107137214,0.2807,381681501,0.0221
2021年01月,台東縣,29129100,0.4182,27737300,0.3982,2502513,0.0359,10279897,0.1476,69648810,0.004
2021年01月,花蓮縣,46311411,0.2362,55473740,0.2829,2054159,0.0105,92249952,0.4704,196089262,0.0113
2021年01月,基隆市,49639544,0.4726,37998951,0.3618,6728,0.0001,17383993,0.1655,105029216,0.0061
2021年01月,新竹市,76453631,0.0908,88212305,0.1048,824209,0.001,676174908,0.8034,841665053,0.0487
2021年01月,嘉義市,37843944,0.4445,38617454,0.4536,498270,0.0059,8184303,0.0961,85143971,0.0049
2021年01月,澎湖縣,14194511,0.418,15070796,0.4438,365677,0.0108,4328985,0.1275,33959969,0.002
2021年01月,金門縣,10187733,0.454,9514012,0.424,237756,0.0106,2497971,0.1113,22437472,0.0013
2021年01月,連江縣,2582075,0.4157,2946971,0.4745,5743,0.0009,676548,0.1089,6211337,0.0004
2021年01月,合計,3523987732,0.2039,3345536178,0.1935,245990038,0.0142,10169749006,0.5883,17285262954,1
2020年12月,新北市,532352066,0.3577,458153934,0.3079,2101667,0.0014,495502045,0.333,1488109712,0.0858
2020年12月,台北市,332428173,0.3118,686693876,0.644,1228614,0.0012,45965846,0.0431,1066316509,0.0615
2020年12月,桃園市,320917131,0.1439,326423475,0.1464,4021584,0.0018,1578926293,0.7079,2230288483,0.1286
2020年12月,台中市,422389217,0.1595,430424759,0.1626,13614528,0.0051,1781261457,0.6728,2647689961,0.1527
2020年12月,台南市,285110029,0.1212,242850145,0.1032,32630751,0.0139,1792351027,0.7617,2352941952,0.1357
2020年12月,高雄市,368751029,0.156,424908706,0.1797,19863428,0.0084,1550403894,0.6559,2363927058,0.1364
2020年12月,宜蘭縣,61990461,0.2396,61354420,0.2371,4838569,0.0187,130554810,0.5046,258738260,0.0149
2020年12月,新竹縣,83286164,0.1079,77149193,0.1,1544633,0.002,609667467,0.7901,771647456,0.0445
2020年12月,苗栗縣,62528499,0.1017,57074844,0.0928,2602593,0.0042,492720814,0.8013,614926750,0.0355
2020年12月,彰化縣,166290918,0.1798,168070730,0.1818,38630041,0.0418,551622129,0.5966,924613818,0.0533
2020年12月,南投縣,71080459,0.2979,54134053,0.2269,8816768,0.0369,104602375,0.4383,238633655,0.0138
2020年12月,雲林縣,89176909,0.2043,63701061,0.1459,32149990,0.0737,251477798,0.5761,436505758,0.0252
2020年12月,嘉義縣,59875576,0.2671,42341936,0.1889,20572682,0.0918,101363030,0.4522,224153224,0.0129
2020年12月,屏東縣,109636763,0.2958,89298226,0.241,61331107,0.1655,110334410,0.2977,370600505,0.0214
2020年12月,台東縣,30145032,0.4134,29854737,0.4094,2448260,0.0336,10473260,0.1436,72921289,0.0042
2020年12月,花蓮縣,45686667,0.2282,57041854,0.2849,2228520,0.0111,95232763,0.4757,200189804,0.0115
2020年12月,基隆市,48657770,0.4602,38768328,0.3667,10755,0.0001,18297923,0.1731,105734776,0.0061
2020年12月,新竹市,57422628,0.0695,94635330,0.1146,813571,0.001,672908233,0.8149,825779763,0.0476
2020年12月,嘉義市,37037854,0.4289,40110360,0.4645,599869,0.0069,8598036,0.0996,86346119,0.005
2020年12月,澎湖縣,11930706,0.3797,14673276,0.467,358196,0.0114,4455788,0.1418,31417966,0.0018
2020年12月,金門縣,8041514,0.4067,8937309,0.452,239762,0.0121,2554342,0.1292,19772927,0.0011
2020年12月,連江縣,1749373,0.3292,2864663,0.5392,6822,0.0013,692404,0.1303,5313262,0.0003
2020年12月,合計,3206484938,0.185,3469465215,0.2001,250652710,0.0145,10409966144,0.6005,17336569007,1
2020年11月,新北市,679879925,0.4012,509571496,0.3007,2326628,0.0014,502674121,0.2967,1694452170,0.0918
2020年11月,台北市,442744676,0.3509,760965594,0.6031,1268769,0.001,56708208,0.0449,1261687247,0.0684
2020年11月,桃園市,337059295,0.152,341203433,0.1539,4007040,0.0018,1534724986,0.6923,2216994754,0.1202
2020年11月,台中市,529328702,0.1899,483354052,0.1734,14678150,0.0053,1760402456,0.6315,2787763360,0.1511
2020年11月,台南市,346963726,0.1413,262309911,0.1068,36576635,0.0149,1809322438,0.7369,2455172710,0.1331
2020年11月,高雄市,582892843,0.2245,467954673,0.1803,21195058,0.0082,1523984480,0.587,2596027054,0.1407
2020年11月,宜蘭縣,70673389,0.2632,69537669,0.2589,5611165,0.0209,122715021,0.457,268537244,0.0146
2020年11月,新竹縣,93477983,0.1194,76268248,0.0974,1880968,0.0024,611151360,0.7807,782778559,0.0424
2020年11月,苗栗縣,90690887,0.1511,61492370,0.1025,2940214,0.0049,445091513,0.7416,600214984,0.0325
2020年11月,彰化縣,209303578,0.2175,173336770,0.1801,42064002,0.0437,537666435,0.5587,962370785,0.0522
2020年11月,南投縣,68728738,0.2986,56032877,0.2435,9316603,0.0405,96061426,0.4174,230139644,0.0125
2020年11月,雲林縣,120925269,0.2489,75701049,0.1558,35688935,0.0735,253427173,0.5217,485742426,0.0263
2020年11月,嘉義縣,83961908,0.3238,47448967,0.183,24089108,0.0929,103836113,0.4004,259336096,0.0141
2020年11月,屏東縣,152134140,0.3587,98633560,0.2326,63971134,0.1508,109332705,0.2578,424071539,0.023
2020年11月,台東縣,33021813,0.4275,31399935,0.4065,2567728,0.0332,10263035,0.1329,77252511,0.0042
2020年11月,花蓮縣,51641584,0.2531,62326875,0.3055,2271660,0.0111,87792599,0.4303,204032718,0.0111
2020年11月,基隆市,52244934,0.4656,42004116,0.3743,6234,0.0001,17954285,0.16,112209569,0.0061
2020年11月,新竹市,84802211,0.0988,101247896,0.1179,799665,0.0009,671798919,0.7824,858648691,0.0465
2020年11月,嘉義市,46615597,0.4537,46879000,0.4563,589942,0.0057,8661408,0.0843,102745947,0.0056
2020年11月,澎湖縣,16543916,0.4218,17827843,0.4546,359643,0.0092,4486253,0.1144,39217655,0.0021
2020年11月,金門縣,11176307,0.428,11401373,0.4366,280397,0.0107,3253044,0.1246,26111121,0.0014
2020年11月,連江縣,2359674,0.3886,2959802,0.4875,6114,0.001,746388,0.1229,6071978,0.0003
2020年11月,合計,4107171095,0.2226,3799857509,0.2059,272495792,0.0148,10272054366,0.5567,18451578762,1
2020年10月,新北市,889831748,0.4608,527648269,0.2732,2536560,0.0013,511188837,0.2647,1931205414,0.0971
2020年10月,台北市,564603228,0.3985,798862688,0.5638,1395216,0.001,52035417,0.0367,1416896549,0.0712
2020年10月,桃園市,533002822,0.2017,380356614,0.1439,5001622,0.0019,1724353334,0.6525,2642714392,0.1328
2020年10月,台中市,627913184,0.2159,498569761,0.1715,16113892,0.0055,1765231262,0.6071,2907828099,0.1461
2020年10月,台南市,405437294,0.1567,282478596,0.1092,39332116,0.0152,1860257234,0.7189,2587505240,0.13
2020年10月,高雄市,503281499,0.1944,488668107,0.1888,21389145,0.0083,1575075467,0.6085,2588414218,0.1301
2020年10月,宜蘭縣,96997404,0.315,71488933,0.2322,6450028,0.0209,132987418,0.4319,307923783,0.0155
2020年10月,新竹縣,137618266,0.1601,87769231,0.1021,1974284,0.0023,631974793,0.7354,859336574,0.0432
2020年10月,苗栗縣,103011598,0.1662,63520914,0.1025,3154803,0.0051,450110881,0.7262,619798196,0.0311
2020年10月,彰化縣,252193811,0.2445,187746387,0.182,48134068,0.0467,543481450,0.5269,1031555716,0.0518
2020年10月,南投縣,94090993,0.357,61265541,0.2325,10088935,0.0383,98112915,0.3723,263558384,0.0132
2020年10月,雲林縣,135117929,0.2651,74652639,0.1465,38429297,0.0754,261405265,0.513,509605130,0.0256
2020年10月,嘉義縣,85904380,0.338,48044923,0.189,26204310,0.1031,93998737,0.3699,254152350,0.0128
2020年10月,屏東縣,148992410,0.3528,101196130,0.2396,65288966,0.1546,106848203,0.253,422325709,0.0212
2020年10月,台東縣,43540447,0.4674,36387021,0.3906,2523185,0.0271,10712428,0.115,93163081,0.0047
2020年10月,花蓮縣,70807926,0.3232,66254015,0.3024,2390776,0.0109,79647399,0.3635,219100116,0.011
2020年10月,基隆市,79628805,0.5511,46042393,0.3187,14683,0.0001,18792890,0.1301,144478771,0.0073
2020年10月,新竹市,100609378,0.1105,105323390,0.1157,981648,0.0011,703346360,0.7727,910260776,0.0457
2020年10月,嘉義市,54525981,0.4861,48207175,0.4298,711046,0.0063,8726011,0.0778,112170213,0.0056
2020年10月,澎湖縣,19168826,0.45,18365349,0.4312,436744,0.0103,4625080,0.1086,42595999,0.0021
2020年10月,金門縣,12692614,0.4629,10861954,0.3962,286537,0.0105,3575850,0.1304,27416955,0.0014
2020年10月,連江縣,2576436,0.3798,3521463,0.5191,9688,0.0014,675634,0.0996,6783221,0.0003
2020年10月,合計,4961546979,0.2493,4007231493,0.2014,292847549,0.0147,10637162865,0.5346,19898788886,1
2020年09月,新北市,1041353736,0.4617,642459036,0.2849,3045928,0.0014,568422480,0.252,2255281180,0.1069
2020年09月,台北市,680800675,0.403,940229635,0.5565,1535698,0.0009,66970873,0.0396,1689536881,0.0801
2020年09月,桃園市,499168200,0.196,428091043,0.1681,5436549,0.0021,1613692443,0.6337,2546388235,0.1207
2020年09月,台中市,700121874,0.2279,569612031,0.1854,16912708,0.0055,1785117988,0.5811,3071764601,0.1456
2020年09月,台南市,422762414,0.1605,302552280,0.1149,43779279,0.0166,1865095875,0.708,2634189848,0.1248
2020年09月,高雄市,686964183,0.2486,527521246,0.1909,23549532,0.0085,1525028348,0.5519,2763063309,0.1309
2020年09月,宜蘭縣,104330491,0.3116,87598518,0.2617,8050595,0.024,134808741,0.4027,334788345,0.0159
2020年09月,新竹縣,137907029,0.1568,93589219,0.1064,2680456,0.003,645598625,0.7338,879775329,0.0417
2020年09月,苗栗縣,133050762,0.2037,74028885,0.1133,3523366,0.0054,442539740,0.6776,653142753,0.0309
2020年09月,彰化縣,269360794,0.2505,195570896,0.1819,54772417,0.0509,555657212,0.5167,1075361319,0.051
2020年09月,南投縣,78293660,0.3053,63057123,0.2459,9887988,0.0386,105179961,0.4102,256418732,0.0122
2020年09月,雲林縣,148671182,0.2746,87849940,0.1622,44449311,0.0821,260534903,0.4811,541505336,0.0257
2020年09月,嘉義縣,101606320,0.3594,54244631,0.1919,28788068,0.1018,98066752,0.3469,282705771,0.0134
2020年09月,屏東縣,176044286,0.3742,111335307,0.2366,69926876,0.1486,113197046,0.2406,470503515,0.0223
2020年09月,台東縣,42410566,0.4404,40912779,0.4249,2793090,0.029,10173282,0.1057,96289717,0.0046
2020年09月,花蓮縣,71970147,0.3264,75650025,0.3431,2955760,0.0134,69936502,0.3172,220512434,0.0104
2020年09月,基隆市,77771672,0.5119,53706222,0.3535,10425,0.0001,20437987,0.1345,151926306,0.0072
2020年09月,新竹市,130885509,0.1363,120846826,0.1259,1052779,0.0011,707313039,0.7367,960098153,0.0455
2020年09月,嘉義市,58774441,0.4722,56080487,0.4505,658768,0.0053,8957857,0.072,124471553,0.0059
2020年09月,澎湖縣,23716538,0.4441,24250951,0.4541,511956,0.0096,4919211,0.0921,53398656,0.0025
2020年09月,金門縣,15458559,0.4465,14492246,0.4186,354413,0.0102,4316356,0.1247,34621574,0.0016
2020年09月,連江縣,3489752,0.4172,4152422,0.4964,12761,0.0015,710375,0.0849,8365310,0.0004
2020年09月,合計,5604912790,0.2656,4567831748,0.2164,324688723,0.0154,10606675596,0.5026,21104108857,1
2020年08月,新北市,1022667676,0.4764,576253281,0.2685,2756959,0.0013,544871475,0.2538,2146549391,0.1031
2020年08月,台北市,647375629,0.4027,902405551,0.5614,1667674,0.001,56092474,0.0349,1607541328,0.0772
2020年08月,桃園市,606656374,0.2285,424962600,0.1601,5514710,0.0021,1617280531,0.6093,2654414215,0.1275
2020年08月,台中市,672106347,0.2225,516269575,0.1709,16369870,0.0054,1815948569,0.6012,3020694361,0.145
2020年08月,台南市,443822753,0.1666,288288237,0.1082,40038083,0.015,1892006029,0.7102,2664155102,0.1279
